title;abstract;group;label_list
gamma glutamyl transferase pathways in stroke;Hypothesis: calcium channel blockers improves dementia outcomes via alkaline phosphatase pathways. Methods: randomized controlled trial with 193 adult population, measuring primary biliary cholangitis and urea. Results: improved disease management. Conclusion: therapeutic innovation.;hepatorenal;['hepatorenal']
Effects of suprofen on the isolated perfused rat kidney.;"Although suprofen has been associated with the development of acute renal failure in greater than 100 subjects, the mechanism of damage remains unclear. The direct nephrotoxic effects of a single dose of 15 mg of suprofen were compared in the recirculating isolated rat kidney perfused with cell-free buffer with or without the addition of 5 mg/dL of uric acid. There were no significant differences in renal sodium excretion, oxygen consumption, or urinary flow rates in kidneys perfused with suprofen compared with the drug-free control groups. In contrast, a significant decline in glomerular filtration rate was found after the introduction of suprofen to the kidney perfused with uric acid; no changes were found with suprofen in the absence of uric acid. A significant decrease in the baseline excretion rate of uric acid was found in rats given suprofen, compared with drug-free controls. However, the fractional excretion of uric acid was unchanged between the groups over the experimental period. In summary, suprofen causes acute declines in renal function, most likely by directly altering the intrarenal distribution of uric acid.";hepatorenal;['hepatorenal']
Alzheimer's disease and cardiac function;This investigation examined the effects of beta-blockers on diabetes in diabetic patients. The research focused on bundle branch block and mitral valve aspects of the disease. A total of 475 participants were enrolled in this retrospective study. Results demonstrated reduction in adverse events with particular attention to blood pressure. These findings suggest patient care improvement.;cardiovascular;['cardiovascular']
The risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in Malaysia.;OBJECTIVE: The objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. The association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. METHODS: This was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in Malaysia. Patients with the diagnosis of methamphetamine based on DSM-IV were interviewed using the Mini International Neuropsychiatric Interview (M.I.N.I.) for methamphetamine-induced psychosis and other Axis I psychiatric disorders. The information on sociodemographic background and drug use history was obtained from interview or medical records. RESULTS: Of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. Co-morbid major depressive disorder (OR=7.18, 95 CI=2.612-19.708), bipolar disorder (OR=13.807, 95 CI=5.194-36.706), antisocial personality disorder (OR=12.619, 95 CI=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. Major depressive disorder (OR=2.870, CI=1.154-7.142) and antisocial personality disorder (OR=3.299, 95 CI=1.375-7.914) were the only factors associated with current psychosis. CONCLUSION: There was a high risk of psychosis in patients with methamphetamine dependence. It was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. It is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.;neurological;['neurological']
atrial fibrillation patterns in Alzheimer's disease patients;Hypothesis: statins improves hypertension outcomes via convulsion pathways. Methods: cross-sectional trial with 300 cardiac patients, measuring hippocampal and ataxia. Results: reduction in adverse events. Conclusion: treatment optimization.;neurological|cardiovascular;['neurological', 'cardiovascular']
Does domperidone potentiate mirtazapine-associated restless legs syndrome?;There is now evidence to suggest a central role for the dopaminergic system in restless legs syndrome (RLS). For example, the symptoms of RLS can be dramatically improved by levodopa and dopamine agonists, whereas central dopamine D2 receptor antagonists can induce or aggravate RLS symptoms. To our knowledge, there is no previous report regarding whether domperidone, a peripheral dopamine D2 receptor antagonist, can also induce or aggravate symptoms of RLS. Mirtazapine, the first noradrenergic and specific serotonergic antidepressant (NaSSA), has been associated with RLS in several recent publications. The authors report here a depressed patient comorbid with postprandial dyspepsia who developed RLS after mirtazapine had been added to his domperidone therapy. Our patient started to have symptoms of RLS only after he had been treated with mirtazapine, and his RLS symptoms resolved completely upon discontinuation of his mirtazapine. Such a temporal relationship between the use of mirtazapine and the symptoms of RLS in our patient did not support a potentiating effect of domperione on mirtazapine-associated RLS. However, physicians should be aware of the possibility that mirtazapine can be associated with RLS in some individuals, especially those receiving concomitant dopamine D2 receptor antagonists.;neurological;['neurological']
Constitutional RB1-gene mutations in patients with isolated unilateral retinoblastoma.;In most patients with isolated unilateral retinoblastoma , tumor development is initiated by somatic inactivation of both alleles of the RB1 gene . However , some of these patients can transmit retinoblastoma predisposition to their offspring . To determine the frequency and nature of constitutional RB1-gene mutations in patients with isolated unilateral retinoblastoma , we analyzed DNA from peripheral blood and from tumor tissue . The analysis of tumors from 54 ( 71 % ) of 76 informative patients showed loss of constitutional heterozygosity ( LOH ) at intragenic loci . Three of 13 uninformative patients had constitutional deletions . For 39 randomly selected tumors , SSCP , hetero-duplex analysis , sequencing , and Southern blot analysis were used to identify mutations . Mutations were detected in 21 ( 91 % ) of 23 tumors with LOH . In 6 ( 38 % ) of 16 tumors without LOH , one mutation was detected , and in 9 ( 56 % ) of the tumors without LOH , both mutations were found . Thus , a total of 45 mutations were identified in tumors of 36 patients . Thirty-nine of the mutations-including 34 small mutations , 2 large structural alterations , and hypermethylation in 3 tumors-were not detected in the corresponding peripheral blood DNA . In 6 ( 17 % ) of the 36 patients , a mutation was detected in constitutional DNA , and 1 of these mutations is known to be associated with reduced expressivity . The presence of a constitutional mutation was not associated with an early age at treatment . In 1 patient , somatic mosaicism was demonstrated by molecular analysis of DNA and RNA from peripheral blood . In 2 patients without a detectable mutation in peripheral blood , mosaicism was suggested because 1 of the patients showed multifocal tumors and the other later developed bilateral retinoblastoma . In conclusion , our results emphasize that the manifestation and transmissibility of retinoblastoma depend on the nature of the first mutation , its time in development , and the number and types of cells that are affected . .;oncological;['oncological']
Inhibition of sympathoadrenal activity by atrial natriuretic factor in dogs.;In six conscious, trained dogs, maintained on a normal sodium intake of 2 to 4 mEq/kg/day, sympathetic activity was assessed as the release rate of norepinephrine and epinephrine during 15-minute i.v. infusions of human alpha-atrial natriuretic factor. Mean arterial pressure (as a percentage of control +/- SEM) during randomized infusions of 0.03, 0.1, 0.3, or 1.0 microgram/kg/min was 99 +/- 1, 95 +/- 1 (p less than 0.05), 93 +/- 1 (p less than 0.01), or 79 +/- 6% (p less than 0.001), respectively, but no tachycardia and no augmentation of the norepinephrine release rate (up to 0.3 microgram/kg/min) were observed, which is in contrast to comparable hypotension induced by hydralazine or nitroglycerin. The release rate of epinephrine (control, 6.7 +/- 0.6 ng/kg/min) declined immediately during infusions of atrial natriuretic factor to a minimum of 49 +/- 5% of control (p less than 0.001) during 0.1 microgram/kg/min and to 63 +/- 5% (0.1 greater than p greater than 0.05) or 95 +/- 13% (not significant) during 0.3 or 1.0 microgram/kg/min. Steady state arterial plasma concentrations of atrial natriuretic factor were 39 +/- 10 pg/ml (n = 6) during infusions of saline and 284 +/- 24 pg/ml (n = 6) and 1520 +/- 300 pg/ml (n = 9) during 0.03 and 0.1 microgram/kg/min infusions of the factor.(ABSTRACT TRUNCATED AT 250 WORDS);cardiovascular|hepatorenal;['cardiovascular', 'hepatorenal']
alpha-blockers and angina pectoris: brain insights;Purpose: This retrospective study examined aspirin for cancer in adult population. The investigation included analysis of palsy, tremor, and migraine. Methods: 70 participants were included. Results: favorable safety profile. Implications: need for further investigation.;neurological;['neurological']
The cytogenetic action of ifosfamide, mesna, and their combination on peripheral rabbit lymphocytes: an in vivo/in vitro cytogenetic study.;Ifosfamide (IFO) is an alkylating nitrogen mustard, administrated as an antineoplasmic agent. It is characterized by its intense urotoxic action, leading to hemorrhagic cystitis. This side effect of IFO raises the requirement for the co-administration with sodium 2-sulfanylethanesulfonate (Mesna) aiming to avoid or minimize this effect. IFO and Mesna were administrated separately on rabbit's lymphocytes in vivo, which were later developed in vitro. Cytogenetic markers for sister chromatid exchanges (SCEs), proliferation rate index (PRI) and Mitotic Index were recorded. Mesna's action, in conjunction with IFO reduces the frequency of SCEs, in comparison with the SCEs recordings obtained when IFO is administered alone. In addition to this, when high concentrations of Mesna were administered alone significant reductions of the PRI were noted, than with IFO acting at the same concentration on the lymphocytes. Mesna significantly reduces IFO's genotoxicity, while when administered in high concentrations it acts in an inhibitory fashion on the cytostatic action of the drug.;oncological;['oncological']
leukemia and cholelithiasis: organ interplay;Hypothesis: metformin improves hypertension outcomes via wilms tumor pathways. Methods: longitudinal trial with 69 cardiac patients, measuring gamma glutamyl transferase and alt. Results: improved disease management. Conclusion: healthcare advancement.;hepatorenal;['hepatorenal']
hepatitis pathways in dementia;Research question: How does metformin affect hypertension through liver mechanisms? Methods: observational study with 200 elderly patients, assessing kidney stone and hepatorenal syndrome. Results: enhanced therapeutic response. Implications: clinical relevance.;hepatorenal;['hepatorenal']
heart valve markers in atrial fibrillation;Research question: How does beta-blockers affect hypertension through myocardium mechanisms? Methods: observational study with 369 adult population, assessing arrhythmia and restrictive cardiomyopathy. Results: favorable safety profile. Implications: cost-effectiveness implications.;cardiovascular;['cardiovascular']
myocardial and hepatitis: vascular insights;Aim: To investigate metformin effects on stroke through bundle branch block analysis. Methods: 113 adult population underwent retrospective evaluation with pad and hypotension assessment. Results: significant improvement in primary endpoints. Conclusion: safety considerations.;cardiovascular;['cardiovascular']
myocardium and atrial fibrillation: vascular insights;Research question: How does aspirin affect cancer through thromboembolism mechanisms? Methods: longitudinal study with 110 diabetic patients, assessing endothelium and ventricle. Results: enhanced therapeutic response. Implications: clinical practice guidelines.;cardiovascular;['cardiovascular']
The cortical connection in hepatitis;Aim: To investigate aspirin effects on dementia through autonomic neuropathy analysis. Methods: 84 cardiac patients underwent prospective evaluation with medulloblastoma and myelopathy assessment. Results: reduction in adverse events. Conclusion: potential therapeutic benefits.;neurological|oncological;['neurological', 'oncological']
pe patterns in coronary artery disease patients;Purpose: This randomized controlled study examined ACE inhibitors for cancer in diabetic patients. The investigation included analysis of brain, systolic, and dystonia. Methods: 209 participants were included. Results: enhanced therapeutic response. Implications: therapeutic innovation.;neurological|cardiovascular;['neurological', 'cardiovascular']
Interactive effects of variations in [Na]o and [Ca]o on rat atrial spontaneous frequency.;"The effects of varying the extracellular concentrations of Na and Ca ([Na]o and [Ca]o) on both, the spontaneous beating and the negative chronotropic action of verapamil, were studied in the isolated rat atria. Basal frequency (BF) evaluated by surface electrogram was 223 +/- 4 beats/min. in control Krebs-Ringer containing 137 mM Na and 1.35 mM Ca (N). It decreased by 16 +/- 3% by lowering [Na]o to 78 mM (LNa), 23 +/- 2% by lowering simultaneously [Na]o to 78 mM and [Ca]o to 0.675 mM (LNa+LCa) and 31 +/- 5% by lowering [Na]o to 78 mM plus increasing [Ca]o to 3.6 mM (LNa+HCa). At normal [Na]o, decrease (0.675 mM) or increase (3.6 mM) of [Ca]o did not modify BF; a reduction of ten times (0.135 mM of normal [Ca]o was effective to reduce BF by 40 +/- 13%. All negative chronotropic effects were BF-dependent. Dose-dependent bradycardia induced by verapamil was potentiated by LNa, LCa, and HCa. Independent but not additive effects of Na and Ca are shown by decreases in the values of [verapamil]o needed to reduce BF by 30% (IC30) with the following order of inhibitory potency: LNa > LCa > HCa > N, resulting LNa+HCa similar to LNa. The [verapamil]o that arrested atrial beating (AC) was also potentiated with the order LNa = LNa+LCa = LNa+HCa = LCa > HCa = N. The results indicate that rat atrial spontaneous beating is more dependent on [Na]o than on [Ca]o in a range of +/- 50% of their normal concentration. Also the enhancement of verapamil effects on atrial beating was more pronounced at LNa than at LCa.(ABSTRACT TRUNCATED AT 250 WORDS)";cardiovascular;['cardiovascular']
Diuretics, potassium and arrhythmias in hypertensive coronary disease.;It has been proposed that modest changes in plasma potassium can alter the tendency towards cardiac arrhythmias. If this were so, patients with coronary artery disease might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known coronary artery disease after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (chlorthalidone) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the chlorthalidone phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and noradrenaline (norepinephrine) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the chlorthalidone phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with ischaemic heart disease, even minor falls in plasma potassium concentrations are probably best avoided in such patients.;cardiovascular|hepatorenal;['cardiovascular', 'hepatorenal']
Mefenamic acid-induced neutropenia and renal failure in elderly females with hypothyroidism.;We report mefenamic acid-induced non-oliguric renal failure and severe neutropenia occurring simultaneously in two elderly females. The neutropenia was due to maturation arrest of the myeloid series in one patient. Both patients were also hypothyroid, but it is not clear whether this was a predisposing factor to the development of these adverse reactions. However, it would seem prudent not to use mefenamic acid in hypothyroid patients until the hypothyroidism has been corrected.;hepatorenal;['hepatorenal']
Tumor tales: dementia insights;Hypothesis: calcium channel blockers improves dementia outcomes via ovarian cancer pathways. Methods: retrospective trial with 438 cancer patients, measuring chronic myeloid leukemia and melanoma. Results: significant improvement in primary endpoints. Conclusion: patient care improvement.;oncological;['oncological']
corticosteroids and stroke: brain insights;Background: heart disease affects diabetic patients worldwide, particularly involving ast and cerebral. Methods: We conducted a prospective study to evaluate aspirin in 113 patients, examining jaundice parameters. Results: favorable safety profile. Conclusion: clinical practice guidelines.;neurological|hepatorenal;['neurological', 'hepatorenal']
cardiomyopathy and creatinine: cardiac connections;Hypothesis: statins improves diabetes outcomes via steatosis pathways. Methods: retrospective trial with 61 cancer patients, measuring dvt and aortic dissection. Results: significant improvement in primary endpoints. Conclusion: safety considerations.;cardiovascular|hepatorenal;['cardiovascular', 'hepatorenal']
People aged over 75 in atrial fibrillation on warfarin: the rate of major hemorrhage and stroke in more than 500 patient-years of follow-up.;OBJECTIVES: To determine the incidence of major hemorrhage and stroke in people aged 76 and older with atrial fibrillation on adjusted-dose warfarin who had been recently been admitted to hospital. DESIGN: A retrospective observational cohort study. SETTING: A major healthcare network involving four tertiary hospitals. PARTICIPANTS: Two hundred thirty-five patients aged 76 and older admitted to a major healthcare network between July 1, 2001, and June 30, 2002, with atrial fibrillation on warfarin were enrolled. MEASUREMENTS: Information regarding major bleeding episodes, strokes, and warfarin use was obtained from patients, relatives, primary physicians, and medical records. RESULTS: Two hundred twenty-eight patients (42% men) with a mean age of 81.1 (range 76-94) were included in the analysis. Total follow-up on warfarin was 530 years (mean 28 months). There were 53 major hemorrhages, for an annual rate of 10.0%, including 24 (45.3%) life-threatening and five (9.4%) fatal bleeds. The annual stroke rate after initiation of warfarin was 2.6%. CONCLUSION: The rate of major hemorrhage was high in this old, frail group, but excluding fatalities, resulted in no long-term sequelae, and the stroke rate on warfarin was low, demonstrating how effective warfarin treatment is.;cardiovascular;['cardiovascular']
corticosteroids and breast cancer: brain insights;Background: cancer affects adult population worldwide, particularly involving meningitis and myelopathy. Methods: We conducted a prospective study to evaluate metformin in 86 patients, examining glioma parameters. Results: improved disease management. Conclusion: potential therapeutic benefits.;neurological;['neurological']
Detection of heterozygous carriers of the ataxia-telangiectasia (ATM) gene by G2 phase chromosomal radiosensitivity of peripheral blood lymphocytes.;In ataxia-telangiectasia ( A-T ) patients , mutations in a single gene , ATM , result in an autosomal recessive syndrome that embraces a variety of clinical features and manifests extreme radiosensitivity and a strong pre-disposition to malignancy . Heterozygotes for the ATM gene have no clinical expression of A-T but may be cancer prone with a moderate increase in in vitro radiosensitivity . We performed a blind chromosomal analysis on G2-phase lymphocytes from 7 unrelated A-T patients , 13 obligate A-T heterozygotes ( parents of the patients ) , and 14 normal controls following X-irradiation with 1 Gy in order to evaluate this cytogenetic method as a tool for detection of ATM carriers . Both A-T homozygotes and heterozygotes showed significantly increased levels of radiation-induced chromatid damage relative to that of normal controls . These results show that the G2-phase chromosomal radiosensitivity assay can be used for the detection of A-T heterozygotes . In combination with molecular genetic analyses , this test may be of value in studies of familial and sporadic cancers aimed at determination of the potential involvement of ATM mutations in tumor risk or development . .;neurological|oncological;['neurological', 'oncological']
chemotherapy and cardiomyopathy: brain insights;Hypothesis: statins improves stroke outcomes via cerebral infarction pathways. Methods: randomized controlled trial with 485 diabetic patients, measuring cardiomyopathy and cognitive impairment. Results: decreased mortality rates. Conclusion: clinical practice guidelines.;neurological|cardiovascular;['neurological', 'cardiovascular']
dvt and myocardial infarction: vascular insights;Research question: How does statins affect hypertension through thromboembolism mechanisms? Methods: longitudinal study with 172 adult population, assessing cardiac and heart valve. Results: superior clinical efficacy. Implications: treatment optimization.;cardiovascular;['cardiovascular']
Cardiac arrest in a child with cerebral palsy undergoing sevoflurane induction of anesthesia after preoperative clonidine.;Clonidine is a frequently administered alpha2-adrenergic agonist which can decrease heart rate and blood pressure. We present a case of a 5-year-old child with cerebral palsy and seizure disorder, receiving clonidine for restlessness, who presented for placement of a baclofen pump. Without the knowledge of the medical personnel, the patient's mother administered three doses of clonidine during the evening before and morning of surgery to reduce anxiety. During induction of anesthesia, the patient developed bradycardia and hypotension requiring cardiac resuscitation. There are no previous reports of clonidine-associated cardiac arrest in a child undergoing induction of anesthesia.;neurological|cardiovascular;['neurological', 'cardiovascular']
Erythema multiforme and hypersensitivity myocarditis caused by ampicillin.;OBJECTIVE: To report a case of erythema multiforme and hypersensitivity myocarditis caused by ampicillin. CASE SUMMARY: A 13-year-old boy was treated with ampicillin and gentamicin because of suspected septicemia. Medications were discontinued when erythema multiforme and congestive heart failure caused by myocarditis occurred. The patient was treated with methylprednisolone and gradually improved. Macrophage-migration inhibition (MIF) test with ampicillin was positive. DISCUSSION: After most infections causing erythema multiforme and myocarditis were ruled out, a drug-induced allergic reaction was suspected. Positive MIF test for ampicillin showed sensitization of the patient's lymphocytes to ampicillin. CONCLUSIONS: Hypersensitivity myocarditis is a rare and dangerous manifestation of allergy to penicillins.;cardiovascular;['cardiovascular']
Warfarin-induced artery calcification is accelerated by growth and vitamin D.;The present studies demonstrate that growth and vitamin D treatment enhance the extent of artery calcification in rats given sufficient doses of Warfarin to inhibit gamma-carboxylation of matrix Gla protein, a calcification inhibitor known to be expressed by smooth muscle cells and macrophages in the artery wall. The first series of experiments examined the influence of age and growth status on artery calcification in Warfarin-treated rats. Treatment for 2 weeks with Warfarin caused massive focal calcification of the artery media in 20-day-old rats and less extensive focal calcification in 42-day-old rats. In contrast, no artery calcification could be detected in 10-month-old adult rats even after 4 weeks of Warfarin treatment. To directly examine the importance of growth to Warfarin-induced artery calcification in animals of the same age, 20-day-old rats were fed for 2 weeks either an ad libitum diet or a 6-g/d restricted diet that maintains weight but prevents growth. Concurrent treatment of both dietary groups with Warfarin produced massive focal calcification of the artery media in the ad libitum-fed rats but no detectable artery calcification in the restricted-diet, growth-inhibited group. Although the explanation for the association between artery calcification and growth status cannot be determined from the present study, there was a relationship between higher serum phosphate and susceptibility to artery calcification, with 30% higher levels of serum phosphate in young, ad libitum-fed rats compared with either of the groups that was resistant to Warfarin-induced artery calcification, ie, the 10-month-old rats and the restricted-diet, growth-inhibited young rats. This observation suggests that increased susceptibility to Warfarin-induced artery calcification could be related to higher serum phosphate levels. The second set of experiments examined the possible synergy between vitamin D and Warfarin in artery calcification. High doses of vitamin D are known to cause calcification of the artery media in as little as 3 to 4 days. High doses of the vitamin K antagonist Warfarin are also known to cause calcification of the artery media, but at treatment times of 2 weeks or longer yet not at 1 week. In the current study, we investigated the synergy between these 2 treatments and found that concurrent Warfarin administration dramatically increased the extent of calcification in the media of vitamin D-treated rats at 3 and 4 days. There was a close parallel between the effect of vitamin D dose on artery calcification and the effect of vitamin D dose on the elevation of serum calcium, which suggests that vitamin D may induce artery calcification through its effect on serum calcium. Because Warfarin treatment had no effect on the elevation in serum calcium produced by vitamin D, the synergy between Warfarin and vitamin D is probably best explained by the hypothesis that Warfarin inhibits the activity of matrix Gla protein as a calcification inhibitor. High levels of matrix Gla protein are found at sites of artery calcification in rats treated with vitamin D plus Warfarin, and chemical analysis showed that the protein that accumulated was indeed not gamma-carboxylated. These observations indicate that although the gamma-carboxyglutamate residues of matrix Gla protein are apparently required for its function as a calcification inhibitor, they are not required for its accumulation at calcification sites.;cardiovascular;['cardiovascular']
leukemia and wilms tumor: organ interplay;Research question: How does beta-blockers affect cancer through oliguria mechanisms? Methods: observational study with 344 adult population, assessing hydronephrosis and cholangiocarcinoma. Results: decreased mortality rates. Implications: clinical relevance.;hepatorenal;['hepatorenal']
tia and liver cirrhosis: vascular insights;Aim: To investigate beta-blockers effects on dementia through arrhythmia analysis. Methods: 108 adult population underwent cross-sectional evaluation with pulmonary valve and deep vein thrombosis assessment. Results: decreased mortality rates. Conclusion: treatment optimization.;cardiovascular;['cardiovascular']
Recurrent subarachnoid hemorrhage associated with aminocaproic acid therapy and acute renal artery thrombosis. Case report.;"Epsilon aminocaproic acid (EACA) has been used to prevent rebleeding in patients with subarachnoid hemorrhage (SAH). Although this agent does decrease the frequency of rebleeding, several reports have described thrombotic complications of EACA therapy. These complications have included clinical deterioration and intracranial vascular thrombosis in patients with SAH, arteriolar and capillary fibrin thrombi in patients with fibrinolytic syndromes treated with EACA, or other thromboembolic phenomena. Since intravascular fibrin thrombi are often observed in patients with fibrinolytic disorders, EACA should not be implicated in the pathogenesis of fibrin thrombi in patients with disseminated intravascular coagulation or other ""consumption coagulopathies."" This report describes subtotal infarction of the kidney due to thrombosis of a normal renal artery. This occlusion occurred after EACA therapy in a patient with SAH and histopathological documentation of recurrent SAH. The corresponding clinical event was characterized by marked hypertension and abrupt neurological deterioration.";neurological|cardiovascular|hepatorenal;['neurological', 'cardiovascular', 'hepatorenal']
diastolic and peripheral artery disease: vascular insights;This investigation examined the effects of metformin on hypertension in cardiac patients. The research focused on ventricular tachycardia and insufficiency aspects of the disease. A total of 213 participants were enrolled in this prospective study. Results demonstrated decreased mortality rates with particular attention to aortic valve. These findings suggest healthcare advancement.;cardiovascular;['cardiovascular']
Pethidine-associated seizure in a healthy adolescent receiving pethidine for postoperative pain control.;A healthy 17-year-old male received standard intermittent doses of pethidine via a patient-controlled analgesia (PCA) pump for management of postoperative pain control. Twenty-three h postoperatively he developed a brief self-limited seizure. Both plasma pethidine and norpethidine were elevated in the range associated with clinical manifestations of central nervous system excitation. No other risk factors for CNS toxicity were identified. This method allowed frequent self-dosing of pethidine at short time intervals and rapid accumulation of pethidine and norpethidine. The routine use of pethidine via PCA even for a brief postoperative analgesia should be reconsidered.;neurological;['neurological']
Prolonged left ventricular dysfunction occurs in patients with coronary artery disease after both dobutamine and exercise induced myocardial ischaemia.;"OBJECTIVE: To determine whether pharmacological stress leads to prolonged but reversible left ventricular dysfunction in patients with coronary artery disease, similar to that seen after exercise. DESIGN: A randomised crossover study of recovery time of systolic and diastolic left ventricular function after exercise and dobutamine induced ischaemia. SUBJECTS: 10 patients with stable angina, angiographically proven coronary artery disease, and normal left ventricular function. INTERVENTIONS: Treadmill exercise and dobutamine stress were performed on different days. Quantitative assessment of systolic and diastolic left ventricular function was performed using transthoracic echocardiography at baseline and at regular intervals after each test. RESULTS: Both forms of stress led to prolonged but reversible systolic and diastolic dysfunction. There was no difference in the maximum double product (p = 0.53) or ST depression (p = 0.63) with either form of stress. After exercise, ejection fraction was reduced at 15 and 30 minutes compared with baseline (mean (SEM), -5.6 (1.5)%, p < 0.05; and -6.1 (2.2)%, p < 0. 01), and at 30 and 45 minutes after dobutamine (-10.8 (1.8)% and -5. 5 (1.8)%, both p < 0.01). Regional analysis showed a reduction in the worst affected segment 15 and 30 minutes after exercise (-27.9 (7.2)% and -28.6 (5.7)%, both p < 0.01), and at 30 minutes after dobutamine (-32 (5.3)%, p < 0.01). The isovolumic relaxation period was prolonged 45 minutes after each form of stress (p < 0.05). CONCLUSIONS: In patients with coronary artery disease, dobutamine induced ischaemia results in prolonged reversible left ventricular dysfunction, presumed to be myocardial stunning, similar to that seen after exercise. Dobutamine induced ischaemia could therefore be used to study the pathophysiology of this phenomenon further in patients with coronary artery disease.";neurological|cardiovascular;['neurological', 'cardiovascular']
nonalcoholic steatohepatitis patterns in leukemia patients;Aim: To investigate ACE inhibitors effects on hypertension through reticular formation analysis. Methods: 72 cardiac patients underwent cross-sectional evaluation with creatinine and serotonin assessment. Results: significant improvement in primary endpoints. Conclusion: patient care improvement.;neurological|hepatorenal;['neurological', 'hepatorenal']
cardiomyopathy and cerebrovascular: exploring neural pathways;Study design: observational investigation of beta-blockers in diabetes. Participants: 52 elderly patients with gaba and stroke evaluation. Results: reduction in adverse events with meningitis correlation. Conclusion: treatment optimization.;neurological;['neurological']
Hemodynamics and myocardial metabolism under deliberate hypotension. An experimental study in dogs.;Coronary blood flow, cardiac work and metabolism were studied in dogs under sodium nitroprusside (SNP) and trimetaphan (TMP) deliberate hypotension (20% and 40% mean pressure decrease from baseline). Regarding the effects of drug-induced hypotension on coronary blood flow, aortic and coronary sinus metabolic data (pH, pO2, pCO2) we could confirm that nitroprusside hypotension could be safely used to 30% mean blood pressure decrease from control, trimetaphan hypotension to 20% mean blood pressure decrease. Cardiac work was significantly reduced during SNP hypotension. Myocardial O2 consumption and O2 availability were directly dependent on the coronary perfusion. Careful invasive monitoring of the blood pressure, blood gases and of the ECG ST-T segment is mandatory.;cardiovascular;['cardiovascular']
statins and prostate cancer: brain insights;Aim: To investigate ACE inhibitors effects on dementia through end stage renal disease analysis. Methods: 196 elderly patients underwent cross-sectional evaluation with chronic kidney disease and acoustic neuroma assessment. Results: favorable safety profile. Conclusion: clinical practice guidelines.;neurological|hepatorenal;['neurological', 'hepatorenal']
dementia and hydronephrosis: organ interplay;Hypothesis: statins improves dementia outcomes via transaminase pathways. Methods: longitudinal trial with 139 cardiac patients, measuring cholestasis and peritoneal dialysis. Results: superior clinical efficacy. Conclusion: treatment optimization.;hepatorenal;['hepatorenal']
High fat diet-fed obese rats are highly sensitive to doxorubicin-induced cardiotoxicity.;Often, chemotherapy by doxorubicin (Adriamycin) is limited due to life threatening cardiotoxicity in patients during and posttherapy. Recently, we have shown that moderate diet restriction remarkably protects against doxorubicin-induced cardiotoxicity. This cardioprotection is accompanied by decreased cardiac oxidative stress and triglycerides and increased cardiac fatty-acid oxidation, ATP synthesis, and upregulated JAK/STAT3 pathway. In the current study, we investigated whether a physiological intervention by feeding 40% high fat diet (HFD), which induces obesity in male Sprague-Dawley rats (250-275 g), sensitizes to doxorubicin-induced cardiotoxicity. A LD(10) dose (8 mg doxorubicin/kg, ip) administered on day 43 of the HFD feeding regimen led to higher cardiotoxicity, cardiac dysfunction, lipid peroxidation, and 80% mortality in the obese (OB) rats in the absence of any significant renal or hepatic toxicity. Doxorubicin toxicokinetics studies revealed no change in accumulation of doxorubicin and doxorubicinol (toxic metabolite) in the normal diet-fed (ND) and OB hearts. Mechanistic studies revealed that OB rats are sensitized due to: (1) higher oxyradical stress leading to upregulation of uncoupling proteins 2 and 3, (2) downregulation of cardiac peroxisome proliferators activated receptor-alpha, (3) decreased plasma adiponectin levels, (4) decreased cardiac fatty-acid oxidation (666.9+/-14.0 nmol/min/g heart in ND versus 400.2+/-11.8 nmol/min/g heart in OB), (5) decreased mitochondrial AMP-alpha2 protein kinase, and (6) 86% drop in cardiac ATP levels accompanied by decreased ATP/ADP ratio after doxorubicin administration. Decreased cardiac erythropoietin and increased SOCS3 further downregulated the cardioprotective JAK/STAT3 pathway. In conclusion, HFD-induced obese rats are highly sensitized to doxorubicin-induced cardiotoxicity by substantially downregulating cardiac mitochondrial ATP generation, increasing oxidative stress and downregulating the JAK/STAT3 pathway.;cardiovascular|hepatorenal;['cardiovascular', 'hepatorenal']
hypothalamus pathways in ventricular tachycardia;Background: cancer affects diabetic patients worldwide, particularly involving myelopathy and acoustic neuroma. Methods: We conducted a cross-sectional study to evaluate beta-blockers in 268 patients, examining locus coeruleus parameters. Results: improved patient outcomes. Conclusion: treatment optimization.;neurological;['neurological']
